benchmark	Type	Orig	Prop	Class	logs-avg.Storm.vi-topo	logs-avg.Storm.ovi-topo	logs-avg.Storm.vi2pi-topo-gmres	logs-avg.Storm.vi2lp-topo-gurobi	logs-avg.mcsta.vi	logs-avg.mcsta.ovi	logs-run1.Storm.vi-topo	logs-run1.Storm.ovi-topo	logs-run1.Storm.vi2pi-topo-gmres	logs-run1.Storm.vi2lp-topo-gurobi	logs-run1.mcsta.vi	logs-run1.mcsta.ovi	logs-run2.Storm.vi-topo	logs-run2.Storm.ovi-topo	logs-run2.Storm.vi2pi-topo-gmres	logs-run2.Storm.vi2lp-topo-gurobi	logs-run2.mcsta.vi	logs-run2.mcsta.ovi	logs-run3.Storm.vi-topo	logs-run3.Storm.ovi-topo	logs-run3.Storm.vi2pi-topo-gmres	logs-run3.Storm.vi2lp-topo-gurobi	logs-run3.mcsta.vi	logs-run3.mcsta.ovi	logs-run4.Storm.vi-topo	logs-run4.Storm.ovi-topo	logs-run4.Storm.vi2pi-topo-gmres	logs-run4.Storm.vi2lp-topo-gurobi	logs-run4.mcsta.vi	logs-run4.mcsta.ovi	logs-run5.Storm.vi-topo	logs-run5.Storm.ovi-topo	logs-run5.Storm.vi2pi-topo-gmres	logs-run5.Storm.vi2lp-topo-gurobi	logs-run5.mcsta.vi	logs-run5.mcsta.ovi	best
mer.500-0.1.prob_max	mdp	prism	P	mdpmec	5.3936	724	724	8.776	1	20.119999999999997	5.79	724	724	8.899	1	20.0	5.792	724	724	8.728	1	20.0	5.138	724	724	8.747	1	20.3	5.121	724	724	8.788	1	20.1	5.127	724	724	8.718	1	20.2	1
obstacle-mdp.400.steps_min	mdp	prism	E	mdpgrid	1	1.668	724	724	2.62	2.82	1	1.713	724	724	2.5	2.8	1	1.358	724	724	2.6	3.0	1.024	1.704	724	724	2.6	2.8	1	1.785	724	724	2.7	3.0	1.047	1.78	724	724	2.7	2.5	1
obstacle-mdp.800.steps_min	mdp	prism	E	mdpgrid	7.5742	14.3656	724	724	21.54	26.68	7.222	13.202	724	724	20.9	26.7	7.114	15.124	724	724	21.3	27.4	7.486	15.107	724	724	21.3	27.2	8.021	16.573	724	724	21.9	26.1	8.028	11.822	724	724	22.3	26.0	7.114
pacman.100.crash	mdp	prism	P	mdpqvbs	9.2364	8.7668	8.4662	8.503400000000001	1	1	8.592	9.484	8.399	8.474	1	1	8.441	8.752	8.484	8.564	1	1	8.485	8.544	8.461	8.531	1	1	8.102	8.536	8.446	8.465	1	1	12.562	8.518	8.541	8.483	1	1	1
polling-system.3-3-5.TmaxBothFull	ma	modest	E	maqvbs	724	724	14.021600000000001	14.0902	724	724	724	724	14.013	13.916	724	724	724	724	14.106	14.114	724	724	724	724	14.147	14.061	724	724	724	724	14.109	14.181	724	724	724	724	13.733	14.179	724	724	13.733
random-grid.40-0.3-0.3.time_min	mdp	prism	E	mdpgrid	1	1	724	302.6312	1	1	1	1	724	312.416	1	1	1	1	724	302.535	1	1	1	1	724	302.677	1	1	1	1	724	297.779	1	1	1	1	724	297.749	1	1	1
random-grid.80-0.3-0.3.prob_max	mdp	prism	P	mdpgridmec	2.9998	1	1	40.193799999999996	3.78	724	2.986	1	1	37.573	3.9	724	2.954	1	1	41.772	3.9	724	3.033	1	1	41.518	3.7	724	3.031	1	1	41.68	3.7	724	2.995	1	1	38.426	3.7	724	1
random-grid.80-0.3-0.3.time_min	mdp	prism	E	mdpgrid	5.3644	5.3496	724	724	5.2	6.94	4.972	5.68	724	724	5.4	6.8	5.042	5.345	724	724	5.2	7.0	5.52	4.656	724	724	5.1	7.2	5.441	5.836	724	724	5.2	7.1	5.847	5.231	724	724	5.1	6.6	4.656
readers-writers.20.exp_time_many_requests	ma	greatspn	E	maqvbs	1	1	1	724	1.04	1.06	1	1	1	724	1.2	1	1	1	1	724	1	1	1	1	1	724	1	1.1	1	1	1	724	1	1.1	1	1	1	724	1	1.1	1
readers-writers.35.exp_time_many_requests	ma	greatspn	E	maqvbs	3.0926	2.5388	4.9048	724	2.06	2.08	2.807	2.454	5.282	724	1.9	2.1	3.039	2.572	5.306	724	2.1	2.0	2.817	2.59	4.701	724	2.0	2.1	3.397	2.588	4.433	724	2.0	2.1	3.403	2.49	4.802	724	2.3	2.1	1.9
